[12-Jul-2026 09:52:08 UTC] PHP Notice:  ob_flush(): Failed to flush buffer. No buffer to flush in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 280
[12-Jul-2026 09:52:08 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-includes/rest-api/class-wp-rest-server.php on line 1897
[12-Jul-2026 09:52:08 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 141
[12-Jul-2026 09:52:08 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 142
[12-Jul-2026 09:52:08 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 143
[12-Jul-2026 09:52:08 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 144
[12-Jul-2026 09:52:10 UTC] PHP Notice:  ob_flush(): Failed to flush buffer. No buffer to flush in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 280
[12-Jul-2026 09:52:10 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-includes/rest-api/class-wp-rest-server.php on line 1897
[12-Jul-2026 09:52:10 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 141
[12-Jul-2026 09:52:10 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 142
[12-Jul-2026 09:52:10 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 143
[12-Jul-2026 09:52:10 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 144
[12-Jul-2026 09:52:10 UTC] PHP Notice:  ob_flush(): Failed to flush buffer. No buffer to flush in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 280
[12-Jul-2026 09:52:10 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-includes/rest-api/class-wp-rest-server.php on line 1897
[12-Jul-2026 09:52:10 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 141
[12-Jul-2026 09:52:10 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 142
[12-Jul-2026 09:52:10 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 143
[12-Jul-2026 09:52:10 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 144
[12-Jul-2026 09:52:17 UTC] PHP Notice:  ob_flush(): Failed to flush buffer. No buffer to flush in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 280
[12-Jul-2026 09:52:18 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-includes/rest-api/class-wp-rest-server.php on line 1897
[12-Jul-2026 09:52:18 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 141
[12-Jul-2026 09:52:18 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 142
[12-Jul-2026 09:52:18 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 143
[12-Jul-2026 09:52:18 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 144
[12-Jul-2026 09:53:05 UTC] PHP Notice:  ob_flush(): Failed to flush buffer. No buffer to flush in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 280
[12-Jul-2026 09:53:05 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-includes/rest-api/class-wp-rest-server.php on line 1897
[12-Jul-2026 09:53:05 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 141
[12-Jul-2026 09:53:05 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 142
[12-Jul-2026 09:53:05 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 143
[12-Jul-2026 09:53:05 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 144
[12-Jul-2026 09:53:10 UTC] Cron 重新计划事件时出现错误，钩子名称：action_scheduler_run_queue，错误代码：could_not_set，错误消息：无法保存 Cron 事件列表。，数据：{"schedule":"every_minute","args":["WP Cron"],"interval":60}
[12-Jul-2026 09:53:10 UTC] PHP Notice:  ob_flush(): Failed to flush buffer. No buffer to flush in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 280
[12-Jul-2026 09:53:10 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-includes/rest-api/class-wp-rest-server.php on line 1897
[12-Jul-2026 09:53:10 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 141
[12-Jul-2026 09:53:10 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 142
[12-Jul-2026 09:53:10 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 143
[12-Jul-2026 09:53:10 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 144
[12-Jul-2026 09:53:11 UTC] PHP Notice:  ob_flush(): Failed to flush buffer. No buffer to flush in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 280
[12-Jul-2026 09:53:11 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-includes/rest-api/class-wp-rest-server.php on line 1897
[12-Jul-2026 09:53:11 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 141
[12-Jul-2026 09:53:11 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 142
[12-Jul-2026 09:53:11 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 143
[12-Jul-2026 09:53:11 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 144
[12-Jul-2026 09:53:27 UTC] PHP Notice:  ob_flush(): Failed to flush buffer. No buffer to flush in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 280
[12-Jul-2026 09:53:27 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-includes/rest-api/class-wp-rest-server.php on line 1897
[12-Jul-2026 09:53:27 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 141
[12-Jul-2026 09:53:27 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 142
[12-Jul-2026 09:53:27 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 143
[12-Jul-2026 09:53:27 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 144
[12-Jul-2026 09:53:31 UTC] PHP Notice:  ob_flush(): Failed to flush buffer. No buffer to flush in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 280
[12-Jul-2026 09:53:31 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-includes/rest-api/class-wp-rest-server.php on line 1897
[12-Jul-2026 09:53:31 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 141
[12-Jul-2026 09:53:31 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 142
[12-Jul-2026 09:53:31 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 143
[12-Jul-2026 09:53:31 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 144
[12-Jul-2026 09:53:32 UTC] PHP Notice:  ob_flush(): Failed to flush buffer. No buffer to flush in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 280
[12-Jul-2026 09:53:32 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-includes/rest-api/class-wp-rest-server.php on line 1897
[12-Jul-2026 09:53:32 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 141
[12-Jul-2026 09:53:32 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 142
[12-Jul-2026 09:53:32 UTC] PHP Warning:  Cannot modify header information - headers already sent in /var/www/html/wp-content/plugins/mini-jwt-compat/mini-jwt-compat.php on line 143
